Geography,Geographic Area Name,Estimate!!Median selected monthly owner costs (dollars)!!Total,Estimate!!Median selected monthly owner costs (dollars)!!Housing units with a mortgage (dollars),Estimate!!Median selected monthly owner costs (dollars)!!Housing units without a mortgage (dollars),Year
0400000US04,Arizona,931,1273,368,2014
0400000US05,Arkansas,662,995,331,2014
0400000US06,California,1613,2068,498,2014
0400000US08,Colorado,1250,1536,416,2014
0400000US09,Connecticut,1634,1994,835,2014
0400000US10,Delaware,1144,1460,439,2014
0400000US11,District of Columbia,1786,2194,637,2014
0400000US12,Florida,933,1364,454,2014
0400000US13,Georgia,989,1285,391,2014
0400000US15,Hawaii,1546,2173,488,2014
0400000US16,Idaho,854,1138,341,2014
0400000US17,Illinois,1163,1584,579,2014
0400000US18,Indiana,840,1082,386,2014
0400000US19,Iowa,843,1173,448,2014
0400000US20,Kansas,894,1256,466,2014
0400000US21,Kentucky,754,1100,349,2014
0400000US22,Louisiana,686,1178,318,2014
0400000US23,Maine,944,1322,491,2014
0400000US24,Maryland,1560,1903,576,2014
0400000US25,Massachusetts,1599,2014,716,2014
0400000US26,Michigan,887,1217,462,2014
0400000US27,Minnesota,1105,1454,493,2014
0400000US28,Mississippi,644,1079,349,2014
0400000US29,Missouri,861,1187,407,2014
0400000US30,Montana,785,1251,381,2014
0400000US31,Nebraska,920,1261,472,2014
0400000US32,Nevada,1054,1331,397,2014
0400000US33,New Hampshire,1434,1828,745,2014
0400000US34,New Jersey,1831,2313,959,2014
0400000US35,New Mexico,767,1195,324,2014
0400000US36,New York,1362,1982,709,2014
0400000US37,North Carolina,902,1224,373,2014
0400000US38,North Dakota,743,1267,433,2014
0400000US39,Ohio,907,1211,448,2014
0400000US40,Oklahoma,752,1143,375,2014
0400000US41,Oregon,1134,1500,466,2014
0400000US42,Pennsylvania,968,1400,502,2014
0400000US44,Rhode Island,1425,1745,674,2014
0400000US45,South Carolina,786,1164,352,2014
0400000US46,South Dakota,781,1201,437,2014
0400000US47,Tennessee,807,1167,361,2014
0400000US48,Texas,986,1419,467,2014
0400000US49,Utah,1134,1393,384,2014
0400000US50,Vermont,1155,1504,634,2014
0400000US51,Virginia,1244,1664,435,2014
0400000US53,Washington,1293,1673,507,2014
0400000US54,West Virginia,495,945,292,2014
0400000US55,Wisconsin,1047,1373,535,2014
0400000US56,Wyoming,887,1311,384,2014
0400000US72,Puerto Rico,293,883,163,2014
0400000US01,Alabama,724,1124,345,2015
0400000US02,Alaska,1360,1817,541,2015
0400000US04,Arizona,976,1319,385,2015
0400000US05,Arkansas,663,1029,340,2015
0400000US06,California,1648,2123,524,2015
0400000US08,Colorado,1273,1558,427,2015
0400000US09,Connecticut,1648,2020,845,2015
0400000US10,Delaware,1137,1506,453,2015
0400000US11,District of Columbia,1910,2312,613,2015
0400000US12,Florida,951,1394,470,2015
0400000US13,Georgia,993,1299,400,2015
0400000US15,Hawaii,1576,2248,490,2015
0400000US16,Idaho,883,1170,347,2015
0400000US17,Illinois,1171,1588,589,2015
0400000US18,Indiana,842,1089,386,2015
0400000US19,Iowa,834,1170,443,2015
0400000US20,Kansas,893,1279,467,2015
0400000US21,Kentucky,737,1089,352,2015
0400000US22,Louisiana,698,1219,323,2015
0400000US23,Maine,962,1340,479,2015
0400000US24,Maryland,1580,1909,591,2015
0400000US25,Massachusetts,1650,2048,760,2015
0400000US26,Michigan,880,1220,464,2015
0400000US27,Minnesota,1114,1459,489,2015
0400000US28,Mississippi,636,1083,357,2015
0400000US29,Missouri,869,1200,418,2015
0400000US30,Montana,840,1316,391,2015
0400000US31,Nebraska,941,1269,477,2015
0400000US32,Nevada,1098,1396,400,2015
0400000US33,New Hampshire,1458,1828,767,2015
0400000US34,New Jersey,1854,2349,988,2015
0400000US35,New Mexico,771,1214,340,2015
0400000US36,New York,1381,2009,719,2015
0400000US37,North Carolina,909,1234,384,2015
0400000US38,North Dakota,767,1297,431,2015
0400000US39,Ohio,915,1228,456,2015
0400000US40,Oklahoma,750,1159,380,2015
0400000US41,Oregon,1166,1534,485,2015
0400000US42,Pennsylvania,987,1414,513,2015
0400000US44,Rhode Island,1453,1730,708,2015
0400000US45,South Carolina,807,1168,361,2015
0400000US46,South Dakota,824,1225,449,2015
0400000US47,Tennessee,813,1167,365,2015
0400000US48,Texas,1016,1453,480,2015
0400000US49,Utah,1144,1408,391,2015
0400000US50,Vermont,1191,1530,653,2015
0400000US51,Virginia,1268,1692,457,2015
0400000US53,Washington,1324,1704,517,2015
0400000US54,West Virginia,501,972,300,2015
0400000US55,Wisconsin,1034,1359,530,2015
0400000US56,Wyoming,902,1364,396,2015
0400000US72,Puerto Rico,268,864,149,2015
