STATE,NAME,Year,BIRTHS,DEATHS,NETMIG,POPESTIMATE,Total exemptions,Median AGI,Mean AGI,AveragePrice,Estimate!!Median selected monthly owner costs (dollars)!!Total,Estimate!!Median selected monthly owner costs (dollars)!!Housing units with a mortgage (dollars),Estimate!!Median selected monthly owner costs (dollars)!!Housing units without a mortgage (dollars)
23,Maine,2012,12796,12753,-218,1328094,1104404,35684,54998,160105,933,1300,456
23,Maine,2013,12866,13405,1130,1328543,1106938,36245,54953,178365,904,1268,460
23,Maine,2014,12705,13348,3482,1331217,1105836,37373,57498,196685,944,1322,491
23,Maine,2015,12644,14174,-497,1329098,1109646,38404,58993,216934,962,1340,479
23,Maine,2016,12704,14173,4775,1332348,1112569,39027,60601,221814,945,1328,454
23,Maine,2017,12396,14552,5603,1335743,1120114,40303,62626,220325,939,1313,469
23,Maine,2019,12390,14692,7956,1345770,1127224,41077,64672,209545,999,1387,510
23,Maine,2020,12209,15562,7719,1350141,1139421,42250,68055,208206,1034,1464,521
24,Maryland,2010,18458,10610,7560,5788784,4996627,45629,72719,189861,1672,2016,555
24,Maryland,2011,73558,43695,21680,5840241,5024326,45884,73939,208285,1647,1961,571
24,Maryland,2012,72718,43469,19684,5888375,5044695,46728,77194,232232,1589,1918,556
24,Maryland,2013,72369,45725,10770,5925197,5102750,46580,75152,256535,1540,1867,556
24,Maryland,2014,72748,44768,7456,5960064,5102147,47545,78535,295640,1560,1903,576
24,Maryland,2015,74145,47190,1814,5988528,5121064,48772,80503,353556,1580,1909,591
24,Maryland,2016,73498,47256,-7684,6007014,5118393,49660,81549,388885,1572,1918,592
24,Maryland,2017,71770,49829,-635,6028186,5135583,51271,84820,378344,1566,1915,596
24,Maryland,2019,70804,51671,-6298,6054954,5080336,50242,85206,299822,1634,2015,613
24,Maryland,2020,69753,55635,-13301,6055802,5095632,51053,87707,290126,1631,2013,638
25,Massachusetts,2010,18641,12304,12570,6566440,5598605,44270,79284,242893,1650,2036,654
25,Massachusetts,2011,73187,53996,28759,6614218,5621374,44777,81100,277315,1655,2042,672
25,Massachusetts,2012,72228,52396,31129,6664269,5638883,46133,86835,311449,1621,2010,681
25,Massachusetts,2013,72160,54782,34373,6715158,5679578,47273,86621,343307,1581,1976,684
25,Massachusetts,2014,71952,54729,33638,6764864,5706081,48838,93036,379084,1599,2014,716
25,Massachusetts,2015,71930,57488,18677,6797484,5749341,50225,95326,409588,1650,2048,760
25,Massachusetts,2016,71345,55985,14582,6827280,5776499,51184,95714,408487,1647,2069,736
25,Massachusetts,2017,70774,58151,23859,6863560,5814799,53143,102738,400749,1694,2108,770
25,Massachusetts,2019,68720,59297,-316,6894883,5739213,54762,104436,363787,1776,2276,828
25,Massachusetts,2020,68502,63072,-6917,6893574,5761329,54658,108015,363940,1840,2323,871
26,Michigan,2010,29099,22115,-13974,9877597,8500513,33092,53019,141370,969,1288,442
26,Michigan,2011,113968,89827,-18734,9883053,8476033,33182,54105,148572,947,1275,450
26,Michigan,2012,113055,89045,-8496,9898289,8410971,34603,58572,154314,902,1233,441
26,Michigan,2013,113013,92319,-4430,9914802,8400514,35426,58575,158806,869,1207,445
26,Michigan,2014,114514,91841,-4858,9932033,8378352,36748,61567,161367,887,1217,462
26,Michigan,2015,113815,96306,-14609,9934483,8379365,37899,63531,164770,880,1220,464
26,Michigan,2016,113522,94757,1136,9954117,8373199,38692,65006,160607,876,1215,462
26,Michigan,2017,112243,97489,8198,9976752,8389788,40265,67845,147283,885,1231,466
26,Michigan,2019,109251,97215,-14650,9984795,8482247,39513,66909,114833,914,1285,487
26,Michigan,2020,108474,103445,-23453,9966555,8402325,39313,68633,114148,958,1348,521
27,Minnesota,2010,17514,9355,-1022,5310934,4762012,41438,64604,147181,1180,1503,438
27,Minnesota,2011,68366,39958,7335,5346620,4780097,42250,66065,164224,1176,1481,455
27,Minnesota,2012,68046,39298,2484,5377500,4803325,43802,71711,180387,1130,1465,450
27,Minnesota,2013,68951,41317,10025,5414722,4839621,44815,70960,196200,1095,1438,464
27,Minnesota,2014,69893,40793,9549,5452665,4867366,46305,74866,210186,1105,1454,493
27,Minnesota,2015,69708,42860,4906,5484002,4904694,47540,77389,225714,1114,1459,489
27,Minnesota,2016,70060,42605,14123,5525360,4931677,48246,77510,232030,1128,1472,482
27,Minnesota,2017,69233,43969,18894,5569283,4966283,50027,80835,223393,1157,1500,503
27,Minnesota,2019,67018,44102,8396,5640053,5031756,50766,81835,192262,1200,1595,552
27,Minnesota,2020,66492,46882,-2397,5657342,4977840,51055,84040,191052,1246,1667,590
28,Mississippi,2010,9410,6648,-405,2970615,2382684,26464,42861,97393,650,1043,331
28,Mississippi,2011,39751,29165,-2117,2979147,2375625,26700,43402,101471,643,1048,332
28,Mississippi,2012,39437,29063,-5219,2984599,2352680,28016,46808,105492,625,1031,317
28,Mississippi,2013,38494,30675,-2650,2989839,2346962,28781,47411,110303,604,1021,318
28,Mississippi,2014,38725,30594,-6098,2991892,2336160,29523,49190,115761,644,1079,349
28,Mississippi,2015,38592,31486,-8788,2990231,2328234,30160,49976,125003,636,1083,357
28,Mississippi,2016,38305,31489,-6431,2990595,2302365,30818,50925,137791,625,1087,335
28,Mississippi,2017,37367,31948,-5334,2990674,2291049,31640,51818,144648,595,1090,328
28,Mississippi,2019,36403,31334,-9707,2978227,2359774,30053,50406,139855,648,1149,352
28,Mississippi,2020,35901,33888,-13418,2966786,2324544,30485,51269,140205,672,1200,356
29,Missouri,2010,19006,13192,1497,5996089,5064938,33489,53682,112232,876,1182,366
29,Missouri,2011,76231,55944,-5156,6011182,5059442,33699,54484,118842,898,1199,385
29,Missouri,2012,75455,55614,-4613,6026027,5048156,34832,58539,125759,861,1176,376
29,Missouri,2013,75145,57556,-294,6042989,5053330,35537,58036,133112,837,1162,385
29,Missouri,2014,75786,57100,-2096,6059130,5050664,36552,61101,140650,861,1187,407
29,Missouri,2015,75159,59995,1467,6075411,5058812,37536,62645,149706,869,1200,418
29,Missouri,2016,74828,59202,434,6091384,5052346,38306,63372,156441,866,1210,408
29,Missouri,2017,73719,61343,7707,6111382,5065580,39679,65480,156345,872,1207,418
29,Missouri,2019,72622,60883,2741,6140475,5123576,38940,65795,146243,895,1271,446
29,Missouri,2020,71982,65045,4093,6151548,5125774,39581,67404,143968,946,1316,465
30,Montana,2010,3068,2411,684,990730,857707,31293,48505,116715,794,1217,350
30,Montana,2011,11985,9111,3914,997518,860457,32215,49984,124113,809,1256,369
30,Montana,2012,12016,8963,3550,1004168,864962,33889,55821,132964,804,1233,371
30,Montana,2013,12198,9443,7182,1014158,868988,34776,54679,144487,779,1259,380
30,Montana,2014,12378,9372,5429,1022657,874563,36460,59248,159477,785,1251,381
30,Montana,2015,12581,9679,5886,1031495,880981,37286,59798,180076,840,1316,391
30,Montana,2016,12499,9922,8035,1042137,885283,37396,59444,202294,827,1327,399
30,Montana,2017,12116,10258,9818,1053862,890220,39076,63142,216872,879,1367,421
30,Montana,2019,11305,9923,6937,1070123,916575,38941,64956,209467,896,1466,450
30,Montana,2020,11314,10756,9950,1080577,923702,40682,69443,206756,959,1558,476
31,Nebraska,2010,6500,3655,463,1829591,1635538,37017,57393,107890,893,1218,429
31,Nebraska,2011,25717,15615,1246,1840914,1644398,37824,58312,111533,909,1237,444
31,Nebraska,2012,25787,15224,2310,1853691,1653027,39529,64915,115607,918,1229,449
31,Nebraska,2013,26014,16175,2362,1865813,1663752,40294,62726,120556,905,1226,465
31,Nebraska,2014,26448,15684,3461,1879955,1673415,41764,67294,125785,920,1261,472
31,Nebraska,2015,26844,16556,1918,1892059,1686700,42573,66799,131997,941,1269,477
31,Nebraska,2016,26547,16139,4066,1906483,1691407,42969,66671,136495,930,1290,487
31,Nebraska,2017,26263,16880,1188,1916998,1699949,44480,69146,137504,975,1334,499
31,Nebraska,2019,25318,15819,-2423,1932571,1717179,45345,71085,136143,1020,1427,535
31,Nebraska,2020,25061,16824,-3286,1937552,1715051,45859,74233,137220,1076,1491,562
32,Nevada,2010,8897,4939,-2070,2702483,2273857,32864,54668,177543,1366,1638,429
32,Nevada,2011,35858,20204,-4962,2713114,2288569,33095,54397,189530,1260,1529,416
32,Nevada,2012,34707,20417,17053,2744670,2290171,34007,60667,203028,1159,1433,397
32,Nevada,2013,35086,21251,18433,2776956,2314506,34246,58179,225544,1083,1361,395
32,Nevada,2014,35224,21219,27580,2818935,2341465,35153,61978,288852,1054,1331,397
32,Nevada,2015,36223,22439,35528,2868531,2381210,36183,64362,346398,1098,1396,400
32,Nevada,2016,36349,23273,37826,2919555,2412872,36835,65983,357036,1103,1401,401
32,Nevada,2017,36053,24492,40784,2972097,2461048,38378,69975,324104,1139,1428,397
32,Nevada,2019,35910,25590,49686,3090771,2619145,37606,68823,187689,1230,1589,423
32,Nevada,2020,35906,28170,39764,3138259,2612510,36558,73473,179626,1281,1625,456
33,New Hampshire,2010,3269,2538,-304,1316807,1186328,42736,67568,168084,1492,1853,668
33,New Hampshire,2011,12990,10742,1407,1320444,1186805,43127,68289,190040,1513,1884,704
